generation: 100, power_min: 43.02116, power_avg: 53.29535, power_max: 66.89, util_min: 2.94785, util_avg: 3.4072, util_max: 3.5993
generation: 200, power_min: 43.02116, power_avg: 57.92513, power_max: 70.96302, util_min: 2.86522, util_avg: 3.17043, util_max: 3.54535
generation: 300, power_min: 48.75655, power_avg: 59.91246, power_max: 70.96302, util_min: 2.80643, util_avg: 3.01907, util_max: 3.18854
generation: 400, power_min: 48.52694, power_avg: 57.33248, power_max: 63.02769, util_min: 2.78247, util_avg: 2.98701, util_max: 3.14423
generation: 500, power_min: 48.75655, power_avg: 54.47619, power_max: 59.14918, util_min: 2.73899, util_avg: 2.95628, util_max: 3.07963
generation: 600, power_min: 48.62635, power_avg: 51.15167, power_max: 56.22251, util_min: 2.82976, util_avg: 2.96161, util_max: 3.03649
generation: 700, power_min: 48.40005, power_avg: 49.62357, power_max: 50.45118, util_min: 2.89698, util_avg: 2.9578, util_max: 3.01035
generation: 800, power_min: 47.0605, power_avg: 48.76024, power_max: 49.60947, util_min: 2.91027, util_avg: 2.9554, util_max: 3.02674
generation: 900, power_min: 46.84148, power_avg: 47.7103, power_max: 48.37336, util_min: 2.92909, util_avg: 2.95724, util_max: 3.00452
generation: 1000, power_min: 46.79162, power_avg: 47.3203, power_max: 47.54856, util_min: 2.93915, util_avg: 2.96441, util_max: 3.00452
generation: 1100, power_min: 46.51512, power_avg: 46.88995, power_max: 47.27562, util_min: 2.94004, util_avg: 2.95989, util_max: 2.9814
generation: 1200, power_min: 46.49714, power_avg: 46.64862, power_max: 46.76568, util_min: 2.95809, util_avg: 2.95809, util_max: 2.95809
generation: 1300, power_min: 46.49714, power_avg: 46.53546, power_max: 46.60583, util_min: 2.95809, util_avg: 2.95809, util_max: 2.95809
generation: 1400, power_min: 46.39329, power_avg: 46.49976, power_max: 46.50199, util_min: 2.95809, util_avg: 2.95809, util_max: 2.95809
generation: 1500, power_min: 46.39329, power_avg: 46.47368, power_max: 46.50199, util_min: 2.95809, util_avg: 2.95809, util_max: 2.95809
generation: 1600, power_min: 46.20711, power_avg: 46.39143, power_max: 46.39329, util_min: 2.95809, util_avg: 2.95826, util_max: 2.97445
generation: 1700, power_min: 46.03819, power_avg: 46.3111, power_max: 46.39329, util_min: 2.95809, util_avg: 2.96557, util_max: 2.99055
generation: 1800, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 1900, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 2000, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 2100, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 2200, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 2300, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 2400, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 2500, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 2600, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 2700, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 2800, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 2900, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 3000, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 3100, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 3200, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 3300, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 3400, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 3500, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 3600, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 3700, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 3800, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 3900, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
generation: 4000, power_min: 46.03819, power_avg: 46.03819, power_max: 46.03819, util_min: 2.99055, util_avg: 2.99055, util_max: 2.99055
